_id,objectid,fid_blockg,statefp10,countyfp10,tractce10,blkgrpce10,geoid10,namelsad10,mtfcc10,funcstat10,aland10,awater10,intptlat10,intptlon10,shape_leng,fid_neighb,pghdb_sde_neighborhood_2010_area,perimeter,neighbor,neighbor_i,hood,hood_no,acres,sqmiles,dpwdiv,unique_id,sectors,shape_le_1,shape_ar_1,page_number,plannerassign,globalid,created_user,created_date,last_edited_user,last_edited_date,temp,shape_area,shape_length
2775,36,240,42,003,980900,1,420039809001,Block Group 1,G5030,S,1453388,854869,+40.4659231,-080.0458881,13293.0104401,72,6426350.5,80995.80627227,19,2101,Marshall-Shadeland,50,802.60647233,1.25407261,1,0,2,13293.0104401,6426350.59395,15,Stephanie Joy Everett,8ce6e024-1876-4e90-8b25-6c4130cce88e,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:36,,34961535.880127,50376.7448489722
2776,37,84,42,003,110200,1,420031102001,Block Group 1,G5030,S,144791,0,+40.4780209,-079.9195862,5475.12806168,38,32419862,136797.97928478,9,2091,Highland Park,40,748.71045651,1.16986009,2,94,12,23264.5616983,32419862.5289,15,Keith Portugal,ffee42fd-382f-4ff0-81b3-63ab8cb0a201,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:11,,32613931.9622803,23372.0131019414
2777,38,326,42,003,310300,1,420033103001,Block Group 1,G5030,S,2048522,0,+40.3879201,-079.9225537,22945.9372883,82,22145166,87456.39013128,93,2175,New Homestead,55,505.58191193,0.78997174,4,94,8,22933.3239199,22145165.324,15,Thomas Scharff,120c1315-5813-42fa-9303-b7c094d0c6ee,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:46,,22023096.1845398,22675.1887158892
2778,39,58,42,003,250300,1,420032503001,Block Group 1,G5030,S,243738,0,+40.4584905,-080.0120067,7703.4461902,27,7218352,80995.80627227,38,2120,Central Northside,19,166.19398243,0.2596781,1,6,3,14371.7363926,7218351.66088,15,Stephanie Joy Everett,cae5ecf1-765c-4428-ad17-a0399487743e,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:11,,7239409.85876465,14437.3456164772
2779,40,197,42,003,060500,2,420030605002,Block Group 2,G5030,S,255123,0,+40.4586040,-079.9613007,9025.77501356,63,7097053,136797.97928478,40,2122,Polish Hill,65,163.9451111,0.25616424,2,6,13,14866.1623252,7097053.08855,15,Alex Peppers AICP,9bbb630b-9bc3-470a-b549-083dab564c97,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:18,,7141449.0244751,14644.6586312965
2780,41,251,42,003,320400,3,420033204003,Block Group 3,G5030,S,196086,0,+40.3911959,-079.9952543,10313.2123506,74,23393388,198927.41614216,94,2176,Overbrook,60,535.35823494,0.83649724,4,24,5,31957.5032266,23393386.8576,15,Thomas Scharff,2be016ee-cc48-420d-8ce6-5bfbe1bebe95,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:01:26,,23320204.5862732,32278.6194001676
2781,42,140,42,003,080700,2,420030807002,Block Group 2,G5030,S,143135,0,+40.4592964,-079.9351049,5199.2611236,50,2961361.7,136797.97928478,31,2113,Friendship,34,67.96250434,0.10619141,2,57,12,7707.14997437,2961361.71379,15,Keith Portugal,e426509e-429b-4ef5-a543-558bd0a6d588,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:53,,2960446.67242432,7707.08444036591
2782,43,308,42,003,120700,2,420031207002,Block Group 2,G5030,S,200053,0,+40.4569713,-079.9050701,6871.68807514,78,5542252.5,136797.97928478,36,2118,Homewood West,43,124.93008836,0.19520326,2,81,11,10087.8773129,5542252.62221,15,Adriana Bowman,2c773a5a-f003-44b9-b7c6-26b63bea6663,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:17,,5441940.68103027,9900.66553856787
2783,44,6,42,003,020100,4,420030201004,Block Group 4,G5030,S,281715,0,+40.4406777,-079.9892121,7297.91973236,6,17846686,136797.97928478,58,2140,Central Business District,17,413.20446531,0.64563198,1,24,16,23034.9547029,17846685.4874,15,Alex Peppers AICP,31b560f2-ca21-41de-ac55-0fe3fc8048e5,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:06,,17999154.2670593,22924.3056148818
2784,45,64,42,003,563200,3,420035632003,Block Group 3,G5030,S,315029,0,+40.4572599,-079.9976543,11102.6286855,30,6577919.5,80995.80627227,39,2121,East Allegheny,26,150.34595404,0.23491555,1,57,3,14425.9106235,6577919.63035,15,Stephanie Joy Everett,e15457c5-efd5-46be-9723-a8571e32e6c6,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:30,,6549069.75183105,14652.6406789667
2785,46,178,42,003,562700,2,420035627002,Block Group 2,G5030,S,535964,5234,+40.4515765,-080.0053403,10563.7916968,60,5840713,80995.80627227,46,2128,Allegheny Center,1,133.719566,0.20893682,1,19,3,10570.4148273,5840713.26537,15,Stephanie Joy Everett,beebd26a-d3ff-4214-987c-5d530e8dec63,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:58:12,,5824824.28790283,10551.868780138
2786,47,0,42,003,040500,1,420030405001,Block Group 1,G5030,S,268195,0,+40.4406805,-079.9542332,7988.37939146,1,7843108,136797.97928478,63,2145,Central Oakland,20,179.22977556,0.28004652,3,113,14,11526.8632219,7843108.22191,15,Christian Umbach,65e4f81f-d61f-4219-ad62-b4167006f5d6,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:13,,7807258.34863281,11495.2603186408
2787,48,181,42,003,270800,3,420032708003,Block Group 3,G5030,S,633737,0,+40.4865869,-080.0297229,13818.0976323,61,31143860,80995.80627227,4,2086,Brighton Heights,13,714.89430542,1.11702235,1,23,2,26060.6841316,31143860.7521,15,Stephanie Joy Everett,25b846aa-3931-493d-a3cb-f8bf638cd3fc,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:58:57,,31140797.0946045,26066.4610217199
2788,49,20,42,003,170600,1,420031706001,Block Group 1,G5030,S,326725,0,+40.4249025,-079.9876098,14495.7931028,17,19973024,198927.41614216,74,2156,South Side Slopes,73,462.75848152,0.72306013,4,6,7,26532.6997121,19973023.112,15,Thomas Scharff,74096afd-885d-464c-abee-49aef0c9f890,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:02:35,,20157761.6335754,26367.485172043
2789,50,143,42,003,561600,2,420035616002,Block Group 2,G5030,S,863468,0,+40.4138332,-079.9632700,22763.2038638,51,13108599,198927.41614216,82,2164,Arlington,4,307.18431056,0.47997549,4,57,7,27698.1211959,13108599.1278,15,Thomas Scharff,183f541a-9d7d-4455-a5b0-19e128eadda6,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:58:32,,13381048.5137939,28091.7684996344
2790,51,265,42,003,563000,4,420035630004,Block Group 4,G5030,S,342793,0,+40.4578183,-080.0705756,9978.22592341,87,3683600.5,198927.41614216,30,2112,Chartiers City,21,85.76980109,0.13401531,5,21,4,9983.54978758,3683600.39436,15,Thomas Scharff,95c77a59-4b19-4108-915d-a16263a45526,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:16,,3736133.87084961,9958.04668675627
2791,52,74,42,003,290400,3,420032904003,Block Group 3,G5030,S,275844,0,+40.3844190,-079.9867635,11617.5879718,34,46641072,198927.41614216,92,2174,Carrick,16,1068.49913476,1.6695299,4,19,5,40422.9743229,46641073.9689,15,Thomas Scharff,f3f50b28-b54f-478c-aafa-69820aeece79,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:59:04,,46543821.0162048,39951.3056754417
2792,53,73,42,003,080200,2,420030802002,Block Group 2,G5030,S,92307,0,+40.4617308,-079.9522528,4036.16383327,33,19572930,136797.97928478,27,2109,Bloomfield,10,449.23559615,0.70193062,2,94,12,21206.1896852,19572929.544,15,Keith Portugal,dfd12465-ae1b-403c-a198-8d590aa69878,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:58:49,,19568702.6030884,21224.7486636921
2793,54,122,42,003,202300,4,420032023004,Block Group 4,G5030,S,835320,0,+40.4127817,-080.0357088,11460.1491262,48,27009770,198927.41614216,80,2162,Banksville,6,625.67643177,0.97761942,5,19,5,25477.7457026,27009770.5173,15,Thomas Scharff,1dd2e34c-2b3b-439f-91cb-ce687beb75f2,SDE,2020-08-14T12:57:28,SDE,2020-08-14T12:58:37,,27254465.3465881,25275.8506173768
2794,55,45,42,003,180700,2,420031807002,Block Group 2,G5030,S,128061,0,+40.4247086,-080.0011285,5547.08880372,24,31760998,198927.41614216,65,2147,Mount Washington,54,724.81969622,1.13253078,5,25,6,33988.8822689,31760998.0351,15,Thomas Scharff,ccdebedb-cee5-42e2-8b82-428f6bea161e,SDE,2020-08-14T12:57:28,SDE,2020-08-14T13:00:41,,31573145.9499817,33206.9668462438
